FIPS Code,Geography,Year,Program Type,Population,County,Land Area (sq mi.),Population Density (person/sq.mi.),Population Growth Rate(10yr) ,Annual Population Growth Rate,2-Year Growth Rate,3-Year Growth Rate,4-Year Growth Rate,5-Year Growth Rate
36093,Schenectady County,1990,Census Base Population,149285,Schenectady,204.52,729.9286133,-0.004408254,,,,,
36093,Schenectady County,2000,Census Base Population,146652,Schenectady,204.52,717.0545668,-0.017637405,,,,,
36093,Schenectady County,2010,Census Base Population,154758,Schenectady,204.52,756.6888324,0.055273709,,,,,
36093,Schenectady County,2020,Census Base Population,158061,Schenectady,204.52,772.8388422,0.021343,,,,,
36095,Schoharie County,1970,Census Base Population,24750,Schoharie,621.82,39.8025152,0,,,,,
36095,Schoharie County,1980,Census Base Population,29710,Schoharie,621.82,47.77910006,0.20040404,,,,,
36095,Schoharie County,1990,Census Base Population,31840,Schoharie,621.82,51.20452864,0.071693033,,,,,
36095,Schoharie County,2000,Census Base Population,31488,Schoharie,621.82,50.63844843,-0.011055276,,,,,
36095,Schoharie County,2010,Census Base Population,32723,Schoharie,621.82,52.62455373,0.039221291,,,,,
36095,Schoharie County,2020,Census Base Population,29714,Schoharie,621.82,47.78553279,-0.091953672,,,,,
36097,Schuyler County,1970,Census Base Population,16737,Schuyler,328.33,50.97615204,0,,,,,
36097,Schuyler County,1980,Census Base Population,17686,Schuyler,328.33,53.86653672,0.056700723,,,,,
36097,Schuyler County,1990,Census Base Population,18662,Schuyler,328.33,56.83915573,0.055184892,,,,,
36097,Schuyler County,2000,Census Base Population,19188,Schuyler,328.33,58.44120245,0.028185618,,,,,
36097,Schuyler County,2010,Census Base Population,18369,Schuyler,328.33,55.94676088,-0.042682927,,,,,
36097,Schuyler County,2020,Census Base Population,17898,Schuyler,328.33,54.51222855,-0.025641026,,,,,
36099,Seneca County,1970,Census Base Population,35083,Seneca,323.71,108.3778691,0,,,,,
36099,Seneca County,1980,Census Base Population,33733,Seneca,323.71,104.2074696,-0.038480176,,,,,
36099,Seneca County,1990,Census Base Population,33683,Seneca,323.71,104.0530104,-0.001482228,,,,,
36099,Seneca County,2000,Census Base Population,33319,Seneca,323.71,102.9285472,-0.010806638,,,,,
36099,Seneca County,2010,Census Base Population,35253,Seneca,323.71,108.9030305,0.058044959,,,,,
36099,Seneca County,2020,Census Base Population,33814,Seneca,323.71,104.4576936,-0.040819221,,,,,
36089,St. Lawrence County,1970,Census Base Population,112309,St. Lawrence,2680.38,41.90040218,0,,,,,
36089,St. Lawrence County,1980,Census Base Population,114347,St. Lawrence,2680.38,42.66074213,0.018146364,,,,,
36089,St. Lawrence County,1990,Census Base Population,111974,St. Lawrence,2680.38,41.7754199,-0.020752621,,,,,
36089,St. Lawrence County,2000,Census Base Population,111922,St. Lawrence,2680.38,41.75601967,-0.000464394,,,,,
36089,St. Lawrence County,2010,Census Base Population,111941,St. Lawrence,2680.38,41.76310822,0.000169761,,,,,
36089,St. Lawrence County,2020,Census Base Population,108505,St. Lawrence,2680.38,40.48120043,-0.030694741,,,,,
36101,Steuben County,1970,Census Base Population,99546,Steuben,1390.56,71.58698654,0,,,,,
36101,Steuben County,1980,Census Base Population,99217,Steuben,1390.56,71.35039121,-0.003305005,,,,,
36101,Steuben County,1990,Census Base Population,99088,Steuben,1390.56,71.25762283,-0.00130018,,,,,
36101,Steuben County,2000,Census Base Population,98681,Steuben,1390.56,70.96493499,-0.00410746,,,,,
36101,Steuben County,2010,Census Base Population,98946,Steuben,1390.56,71.1555057,0.002685421,,,,,
36101,Steuben County,2020,Census Base Population,93584,Steuben,1390.56,67.29950524,-0.054191175,,,,,
36103,Suffolk County,1970,Census Base Population,1127030,Suffolk,912.05,1235.710761,0,,,,,
36103,Suffolk County,1980,Census Base Population,1284231,Suffolk,912.05,1408.070829,0.139482534,,,,,
36103,Suffolk County,1990,Census Base Population,1321339,Suffolk,912.05,1448.757195,0.028895113,,,,,
36103,Suffolk County,2000,Census Base Population,1419379,Suffolk,912.05,1556.251302,0.074197462,,,,,
36103,Suffolk County,2010,Census Base Population,1493116,Suffolk,912.05,1637.098843,0.051950184,,,,,
36103,Suffolk County,2020,Census Base Population,1525920,Suffolk,912.05,1673.06617,0.021970162,,,,,
36105,Sullivan County,1970,Census Base Population,52580,Sullivan,968.13,54.310888,0,,,,,
36105,Sullivan County,1980,Census Base Population,65155,Sullivan,968.13,67.2998461,0.239159376,,,,,
36105,Sullivan County,1990,Census Base Population,69277,Sullivan,968.13,71.55753876,0.063264523,,,,,
36105,Sullivan County,2000,Census Base Population,73885,Sullivan,968.13,76.31723012,0.066515582,,,,,
36105,Sullivan County,2010,Census Base Population,77504,Sullivan,968.13,80.05536447,0.048981525,,,,,
36105,Sullivan County,2020,Census Base Population,78624,Sullivan,968.13,81.21223389,0.014450867,,,,,
36107,Tioga County,1970,Census Base Population,46513,Tioga,518.6,89.68954879,0,,,,,
36107,Tioga County,1980,Census Base Population,49812,Tioga,518.6,96.05090629,0.070926408,,,,,
36107,Tioga County,1990,Census Base Population,52337,Tioga,518.6,100.919784,0.050690597,,,,,
36107,Tioga County,2000,Census Base Population,51883,Tioga,518.6,100.0443502,-0.008674551,,,,,
36107,Tioga County,2010,Census Base Population,51052,Tioga,518.6,98.44195912,-0.016016807,,,,,
36107,Tioga County,2020,Census Base Population,48455,Tioga,518.6,93.43424605,-0.050869701,,,,,
36109,Tompkins County,1970,Census Base Population,77064,Tompkins,474.65,162.3596334,0,,,,,
36109,Tompkins County,1980,Census Base Population,87085,Tompkins,474.65,183.472032,0.130034776,,,,,
36109,Tompkins County,1990,Census Base Population,94097,Tompkins,474.65,198.2450226,0.080519033,,,,,
36109,Tompkins County,2000,Census Base Population,96487,Tompkins,474.65,203.2803118,0.025399322,,,,,
36109,Tompkins County,2010,Census Base Population,101581,Tompkins,474.65,214.0124302,0.052794677,,,,,
36109,Tompkins County,2020,Census Base Population,105740,Tompkins,474.65,222.7746761,0.040942696,,,,,
36111,Ulster County,1970,Census Base Population,141241,Ulster,1124.23,125.6335447,0,,,,,
36111,Ulster County,1980,Census Base Population,158158,Ulster,1124.23,140.6811773,0.119774003,,,,,
36111,Ulster County,1990,Census Base Population,165380,Ulster,1124.23,147.1051297,0.045663198,,,,,
36111,Ulster County,2000,Census Base Population,177726,Ulster,1124.23,158.0868683,0.074652316,,,,,
36111,Ulster County,2010,Census Base Population,182522,Ulster,1124.23,162.3528993,0.026985359,,,,,
36111,Ulster County,2020,Census Base Population,181851,Ulster,1124.23,161.7560464,-0.003676269,,,,,
36113,Warren County,1970,Census Base Population,49402,Warren,866.95,56.98367841,0,,,,,
36113,Warren County,1980,Census Base Population,54854,Warren,866.95,63.27239172,0.110359904,,,,,
36113,Warren County,1990,Census Base Population,59209,Warren,866.95,68.29574947,0.079392569,,,,,
36113,Warren County,2000,Census Base Population,63263,Warren,866.95,72.97191303,0.068469321,,,,,
36113,Warren County,2010,Census Base Population,65698,Warren,866.95,75.78061019,0.038490113,,,,,
36113,Warren County,2020,Census Base Population,65737,Warren,866.95,75.82559548,0.000593625,,,,,
36115,Washington County,1970,Census Base Population,52725,Washington,831.18,63.43391323,0,,,,,
36115,Washington County,1980,Census Base Population,54795,Washington,831.18,65.92434852,0.039260313,,,,,
36115,Washington County,1990,Census Base Population,59330,Washington,831.18,71.38044708,0.082763026,,,,,
36115,Washington County,2000,Census Base Population,61032,Washington,831.18,73.42813831,0.028687005,,,,,
36115,Washington County,2010,Census Base Population,63254,Washington,831.18,76.10144614,0.036407131,,,,,
36115,Washington County,2020,Census Base Population,61302,Washington,831.18,73.75297769,-0.030859708,,,,,
36117,Wayne County,1970,Census Base Population,79404,Wayne,603.83,131.5005879,0,,,,,
36117,Wayne County,1980,Census Base Population,84581,Wayne,603.83,140.0741931,0.065198227,,,,,
36117,Wayne County,1990,Census Base Population,89123,Wayne,603.83,147.5961777,0.053700004,,,,,
36117,Wayne County,2000,Census Base Population,93779,Wayne,603.83,155.3069573,0.052242407,,,,,
36117,Wayne County,2010,Census Base Population,93751,Wayne,603.83,155.2605866,-0.000298574,,,,,
36117,Wayne County,2020,Census Base Population,91283,Wayne,603.83,151.1733435,-0.026325053,,,,,
36119,Westchester County,1970,Census Base Population,894406,Westchester,430.5,2077.598142,0,,,,,
36119,Westchester County,1980,Census Base Population,866599,Westchester,430.5,2013.005807,-0.031089908,,,,,
36119,Westchester County,1990,Census Base Population,874866,Westchester,430.5,2032.209059,0.009539591,,,,,
36119,Westchester County,2000,Census Base Population,923621,Westchester,430.5,2145.461092,0.055728534,,,,,
36119,Westchester County,2010,Census Base Population,949376,Westchester,430.5,2205.286876,0.027884814,,,,,
36119,Westchester County,2020,Census Base Population,1004457,Westchester,430.5,2333.233449,0.058018109,,,,,
36121,Wyoming County,1970,Census Base Population,37688,Wyoming,592.75,63.58161113,0,,,,,
36121,Wyoming County,1980,Census Base Population,39895,Wyoming,592.75,67.30493463,0.058559754,,,,,
36121,Wyoming County,1990,Census Base Population,42507,Wyoming,592.75,71.71151413,0.065471864,,,,,
36121,Wyoming County,2000,Census Base Population,43462,Wyoming,592.75,73.32264867,0.022466888,,,,,
36121,Wyoming County,2010,Census Base Population,42154,Wyoming,592.75,71.11598482,-0.030095256,,,,,
36121,Wyoming County,2020,Census Base Population,40531,Wyoming,592.75,68.37789962,-0.038501684,,,,,
36123,Yates County,1970,Census Base Population,19831,Yates,338.14,58.64730585,0,,,,,
36123,Yates County,1980,Census Base Population,21459,Yates,338.14,63.46187969,0.082093692,,,,,
36123,Yates County,1990,Census Base Population,22810,Yates,338.14,67.45726622,0.062957267,,,,,
36123,Yates County,2000,Census Base Population,24591,Yates,338.14,72.72431537,0.07807979,,,,,
36123,Yates County,2010,Census Base Population,25364,Yates,338.14,75.01035074,0.031434265,,,,,
36123,Yates County,2020,Census Base Population,24774,Yates,338.14,73.26551133,-0.023261315,,,,,
,,,,,,,,0,,,,,
