FIPS Code,Geography,Year,Program Type,Population
36003,Allegany County,1970,Intercensal Population Estimate,46782
36003,Allegany County,1971,Intercensal Population Estimate,48062
36003,Allegany County,1972,Intercensal Population Estimate,49963
36003,Allegany County,1973,Intercensal Population Estimate,50255
36003,Allegany County,1974,Intercensal Population Estimate,50539
36003,Allegany County,1975,Intercensal Population Estimate,51452
36003,Allegany County,1976,Intercensal Population Estimate,51859
36003,Allegany County,1977,Intercensal Population Estimate,52153
36003,Allegany County,1978,Intercensal Population Estimate,52207
36003,Allegany County,1979,Intercensal Population Estimate,52348
36003,Allegany County,1980,Intercensal Population Estimate,51830
36003,Allegany County,1981,Intercensal Population Estimate,51861
36003,Allegany County,1982,Intercensal Population Estimate,51640
36003,Allegany County,1983,Intercensal Population Estimate,51354
36003,Allegany County,1984,Intercensal Population Estimate,51070
36003,Allegany County,1985,Intercensal Population Estimate,50723
36003,Allegany County,1986,Intercensal Population Estimate,50060
36003,Allegany County,1987,Intercensal Population Estimate,49768
36003,Allegany County,1988,Intercensal Population Estimate,49835
36003,Allegany County,1989,Intercensal Population Estimate,50166
36003,Allegany County,1990,Intercensal Population Estimate,50522
36003,Allegany County,1991,Intercensal Population Estimate,50935
36003,Allegany County,1992,Intercensal Population Estimate,50967
36003,Allegany County,1993,Intercensal Population Estimate,50807
36003,Allegany County,1994,Intercensal Population Estimate,51012
36003,Allegany County,1995,Intercensal Population Estimate,51251
36003,Allegany County,1996,Intercensal Population Estimate,50869
36003,Allegany County,1997,Intercensal Population Estimate,50325
36003,Allegany County,1998,Intercensal Population Estimate,49991
36003,Allegany County,1999,Intercensal Population Estimate,49997
36003,Allegany County,2000,Intercensal Population Estimate,49819
36003,Allegany County,2001,Intercensal Population Estimate,50079
36003,Allegany County,2002,Intercensal Population Estimate,50014
36003,Allegany County,2003,Intercensal Population Estimate,50165
36003,Allegany County,2004,Intercensal Population Estimate,50311
36003,Allegany County,2005,Intercensal Population Estimate,49768
36003,Allegany County,2006,Intercensal Population Estimate,49359
36003,Allegany County,2007,Intercensal Population Estimate,49079
36003,Allegany County,2008,Intercensal Population Estimate,49177
36003,Allegany County,2009,Intercensal Population Estimate,48969
36005,Bronx County,1970,Intercensal Population Estimate,1472841
36005,Bronx County,1971,Intercensal Population Estimate,1477414
36005,Bronx County,1972,Intercensal Population Estimate,1472517
36005,Bronx County,1973,Intercensal Population Estimate,1418905
36005,Bronx County,1974,Intercensal Population Estimate,1381621
36005,Bronx County,1975,Intercensal Population Estimate,1347968
36005,Bronx County,1976,Intercensal Population Estimate,1313974
36005,Bronx County,1977,Intercensal Population Estimate,1265491
36005,Bronx County,1978,Intercensal Population Estimate,1220935
36005,Bronx County,1979,Intercensal Population Estimate,1188565
36005,Bronx County,1980,Intercensal Population Estimate,1167602
36005,Bronx County,1981,Intercensal Population Estimate,1163912
36005,Bronx County,1982,Intercensal Population Estimate,1164329
36005,Bronx County,1983,Intercensal Population Estimate,1175406
36005,Bronx County,1984,Intercensal Population Estimate,1179413
36005,Bronx County,1985,Intercensal Population Estimate,1187894
36005,Bronx County,1986,Intercensal Population Estimate,1198837
36005,Bronx County,1987,Intercensal Population Estimate,1210712
36005,Bronx County,1988,Intercensal Population Estimate,1215834
36005,Bronx County,1989,Intercensal Population Estimate,1213675
36005,Bronx County,1990,Intercensal Population Estimate,1207053
36005,Bronx County,1991,Intercensal Population Estimate,1214835
36005,Bronx County,1992,Intercensal Population Estimate,1223153
36005,Bronx County,1993,Intercensal Population Estimate,1238907
36005,Bronx County,1994,Intercensal Population Estimate,1250789
36005,Bronx County,1995,Intercensal Population Estimate,1262064
36005,Bronx County,1996,Intercensal Population Estimate,1272693
36005,Bronx County,1997,Intercensal Population Estimate,1285683
36005,Bronx County,1998,Intercensal Population Estimate,1300823
36005,Bronx County,1999,Intercensal Population Estimate,1317895
36005,Bronx County,2000,Intercensal Population Estimate,1334319
36005,Bronx County,2001,Intercensal Population Estimate,1346555
36005,Bronx County,2002,Intercensal Population Estimate,1358739
36005,Bronx County,2003,Intercensal Population Estimate,1362373
36005,Bronx County,2004,Intercensal Population Estimate,1358963
36005,Bronx County,2005,Intercensal Population Estimate,1351736
36005,Bronx County,2006,Intercensal Population Estimate,1348164
36005,Bronx County,2007,Intercensal Population Estimate,1354056
36005,Bronx County,2008,Intercensal Population Estimate,1363488
36005,Bronx County,2009,Intercensal Population Estimate,1376261
36007,Broome County,1970,Intercensal Population Estimate,222065
36007,Broome County,1971,Intercensal Population Estimate,223050
36007,Broome County,1972,Intercensal Population Estimate,219760
36007,Broome County,1973,Intercensal Population Estimate,219717
36007,Broome County,1974,Intercensal Population Estimate,218031
36007,Broome County,1975,Intercensal Population Estimate,220043
36007,Broome County,1976,Intercensal Population Estimate,219805
36007,Broome County,1977,Intercensal Population Estimate,219102
36007,Broome County,1978,Intercensal Population Estimate,217855
36007,Broome County,1979,Intercensal Population Estimate,217087
36007,Broome County,1980,Intercensal Population Estimate,213850
36007,Broome County,1981,Intercensal Population Estimate,213544
36007,Broome County,1982,Intercensal Population Estimate,213903
36007,Broome County,1983,Intercensal Population Estimate,213413
36007,Broome County,1984,Intercensal Population Estimate,213060
36007,Broome County,1985,Intercensal Population Estimate,213846
36007,Broome County,1986,Intercensal Population Estimate,212792
36007,Broome County,1987,Intercensal Population Estimate,211283
36007,Broome County,1988,Intercensal Population Estimate,211984
36007,Broome County,1989,Intercensal Population Estimate,212406
36007,Broome County,1990,Intercensal Population Estimate,212252
36007,Broome County,1991,Intercensal Population Estimate,212820
36007,Broome County,1992,Intercensal Population Estimate,213460
36007,Broome County,1993,Intercensal Population Estimate,212756
36007,Broome County,1994,Intercensal Population Estimate,210823
36007,Broome County,1995,Intercensal Population Estimate,207478
36007,Broome County,1996,Intercensal Population Estimate,204415
36007,Broome County,1997,Intercensal Population Estimate,202053
36007,Broome County,1998,Intercensal Population Estimate,201072
36007,Broome County,1999,Intercensal Population Estimate,200881
36007,Broome County,2000,Intercensal Population Estimate,200351
36007,Broome County,2001,Intercensal Population Estimate,200868
36007,Broome County,2002,Intercensal Population Estimate,201438
36007,Broome County,2003,Intercensal Population Estimate,201037
36007,Broome County,2004,Intercensal Population Estimate,200974
36007,Broome County,2005,Intercensal Population Estimate,200477
36007,Broome County,2006,Intercensal Population Estimate,200905
36007,Broome County,2007,Intercensal Population Estimate,200877
36007,Broome County,2008,Intercensal Population Estimate,201029
36007,Broome County,2009,Intercensal Population Estimate,200935
36009,Cattaraugus County,1970,Intercensal Population Estimate,82176
36009,Cattaraugus County,1971,Intercensal Population Estimate,84217
36009,Cattaraugus County,1972,Intercensal Population Estimate,86193
36009,Cattaraugus County,1973,Intercensal Population Estimate,84385
36009,Cattaraugus County,1974,Intercensal Population Estimate,83950
36009,Cattaraugus County,1975,Intercensal Population Estimate,84963
36009,Cattaraugus County,1976,Intercensal Population Estimate,85555
36009,Cattaraugus County,1977,Intercensal Population Estimate,85605
36009,Cattaraugus County,1978,Intercensal Population Estimate,85883
36009,Cattaraugus County,1979,Intercensal Population Estimate,85511
36009,Cattaraugus County,1980,Intercensal Population Estimate,85852
36009,Cattaraugus County,1981,Intercensal Population Estimate,86080
36009,Cattaraugus County,1982,Intercensal Population Estimate,85877
36009,Cattaraugus County,1983,Intercensal Population Estimate,85732
36009,Cattaraugus County,1984,Intercensal Population Estimate,85296
36009,Cattaraugus County,1985,Intercensal Population Estimate,85545
36009,Cattaraugus County,1986,Intercensal Population Estimate,84880
36009,Cattaraugus County,1987,Intercensal Population Estimate,83883
36009,Cattaraugus County,1988,Intercensal Population Estimate,83510
36009,Cattaraugus County,1989,Intercensal Population Estimate,83571
36009,Cattaraugus County,1990,Intercensal Population Estimate,84455
36009,Cattaraugus County,1991,Intercensal Population Estimate,84961
36009,Cattaraugus County,1992,Intercensal Population Estimate,85326
36009,Cattaraugus County,1993,Intercensal Population Estimate,85523
36009,Cattaraugus County,1994,Intercensal Population Estimate,85097
36009,Cattaraugus County,1995,Intercensal Population Estimate,85040
36009,Cattaraugus County,1996,Intercensal Population Estimate,85284
36009,Cattaraugus County,1997,Intercensal Population Estimate,84718
36009,Cattaraugus County,1998,Intercensal Population Estimate,84519
36009,Cattaraugus County,1999,Intercensal Population Estimate,84050
36009,Cattaraugus County,2000,Intercensal Population Estimate,83927
36009,Cattaraugus County,2001,Intercensal Population Estimate,83346
36009,Cattaraugus County,2002,Intercensal Population Estimate,83301
36009,Cattaraugus County,2003,Intercensal Population Estimate,83335
36009,Cattaraugus County,2004,Intercensal Population Estimate,82864
36009,Cattaraugus County,2005,Intercensal Population Estimate,82039
36009,Cattaraugus County,2006,Intercensal Population Estimate,81342
36009,Cattaraugus County,2007,Intercensal Population Estimate,81056
36009,Cattaraugus County,2008,Intercensal Population Estimate,80761
36009,Cattaraugus County,2009,Intercensal Population Estimate,80491
36011,Cayuga County,1970,Intercensal Population Estimate,77728
36011,Cayuga County,1971,Intercensal Population Estimate,78881
36011,Cayuga County,1972,Intercensal Population Estimate,79364
36011,Cayuga County,1973,Intercensal Population Estimate,79099
36011,Cayuga County,1974,Intercensal Population Estimate,79327
36011,Cayuga County,1975,Intercensal Population Estimate,79282
36011,Cayuga County,1976,Intercensal Population Estimate,80351
36011,Cayuga County,1977,Intercensal Population Estimate,80834
36011,Cayuga County,1978,Intercensal Population Estimate,80966
36011,Cayuga County,1979,Intercensal Population Estimate,80831
36011,Cayuga County,1980,Intercensal Population Estimate,80002
36011,Cayuga County,1981,Intercensal Population Estimate,80033
36011,Cayuga County,1982,Intercensal Population Estimate,80020
36011,Cayuga County,1983,Intercensal Population Estimate,80010
36011,Cayuga County,1984,Intercensal Population Estimate,79889
36011,Cayuga County,1985,Intercensal Population Estimate,79927
36011,Cayuga County,1986,Intercensal Population Estimate,80272
36011,Cayuga County,1987,Intercensal Population Estimate,80166
36011,Cayuga County,1988,Intercensal Population Estimate,80659
36011,Cayuga County,1989,Intercensal Population Estimate,82045
36011,Cayuga County,1990,Intercensal Population Estimate,82446
36011,Cayuga County,1991,Intercensal Population Estimate,82880
36011,Cayuga County,1992,Intercensal Population Estimate,82889
36011,Cayuga County,1993,Intercensal Population Estimate,82959
36011,Cayuga County,1994,Intercensal Population Estimate,82933
36011,Cayuga County,1995,Intercensal Population Estimate,82964
36011,Cayuga County,1996,Intercensal Population Estimate,82846
36011,Cayuga County,1997,Intercensal Population Estimate,82693
36011,Cayuga County,1998,Intercensal Population Estimate,82497
36011,Cayuga County,1999,Intercensal Population Estimate,82034
36011,Cayuga County,2000,Intercensal Population Estimate,81871
36011,Cayuga County,2001,Intercensal Population Estimate,81313
36011,Cayuga County,2002,Intercensal Population Estimate,81401
36011,Cayuga County,2003,Intercensal Population Estimate,81395
36011,Cayuga County,2004,Intercensal Population Estimate,81284
36011,Cayuga County,2005,Intercensal Population Estimate,81104
36011,Cayuga County,2006,Intercensal Population Estimate,80892
36011,Cayuga County,2007,Intercensal Population Estimate,80629
36011,Cayuga County,2008,Intercensal Population Estimate,80482
36011,Cayuga County,2009,Intercensal Population Estimate,80172
36013,Chautauqua County,1970,Intercensal Population Estimate,147854
36013,Chautauqua County,1971,Intercensal Population Estimate,150083
36013,Chautauqua County,1972,Intercensal Population Estimate,151627
36013,Chautauqua County,1973,Intercensal Population Estimate,149778
36013,Chautauqua County,1974,Intercensal Population Estimate,148714
36013,Chautauqua County,1975,Intercensal Population Estimate,149047
36013,Chautauqua County,1976,Intercensal Population Estimate,148911
36013,Chautauqua County,1977,Intercensal Population Estimate,148902
36013,Chautauqua County,1978,Intercensal Population Estimate,147845
36013,Chautauqua County,1979,Intercensal Population Estimate,146939
36013,Chautauqua County,1980,Intercensal Population Estimate,147061
36013,Chautauqua County,1981,Intercensal Population Estimate,146831
36013,Chautauqua County,1982,Intercensal Population Estimate,146333
36013,Chautauqua County,1983,Intercensal Population Estimate,145594
36013,Chautauqua County,1984,Intercensal Population Estimate,144859
36013,Chautauqua County,1985,Intercensal Population Estimate,144052
36013,Chautauqua County,1986,Intercensal Population Estimate,142865
36013,Chautauqua County,1987,Intercensal Population Estimate,141674
36013,Chautauqua County,1988,Intercensal Population Estimate,141420
36013,Chautauqua County,1989,Intercensal Population Estimate,141772
36013,Chautauqua County,1990,Intercensal Population Estimate,142054
36013,Chautauqua County,1991,Intercensal Population Estimate,142680
36013,Chautauqua County,1992,Intercensal Population Estimate,142603
36013,Chautauqua County,1993,Intercensal Population Estimate,143131
36013,Chautauqua County,1994,Intercensal Population Estimate,143041
36013,Chautauqua County,1995,Intercensal Population Estimate,142542
36013,Chautauqua County,1996,Intercensal Population Estimate,142476
36013,Chautauqua County,1997,Intercensal Population Estimate,141531
36013,Chautauqua County,1998,Intercensal Population Estimate,140784
36013,Chautauqua County,1999,Intercensal Population Estimate,140087
36013,Chautauqua County,2000,Intercensal Population Estimate,139593
36013,Chautauqua County,2001,Intercensal Population Estimate,138730
36013,Chautauqua County,2002,Intercensal Population Estimate,138346
36013,Chautauqua County,2003,Intercensal Population Estimate,137587
36013,Chautauqua County,2004,Intercensal Population Estimate,137174
36013,Chautauqua County,2005,Intercensal Population Estimate,136139
36013,Chautauqua County,2006,Intercensal Population Estimate,135640
36013,Chautauqua County,2007,Intercensal Population Estimate,135481
36013,Chautauqua County,2008,Intercensal Population Estimate,135229
36013,Chautauqua County,2009,Intercensal Population Estimate,135197
36015,Chemung County,1970,Intercensal Population Estimate,101449
36015,Chemung County,1971,Intercensal Population Estimate,101087
36015,Chemung County,1972,Intercensal Population Estimate,101673
36015,Chemung County,1973,Intercensal Population Estimate,100457
36015,Chemung County,1974,Intercensal Population Estimate,99940
36015,Chemung County,1975,Intercensal Population Estimate,100501
36015,Chemung County,1976,Intercensal Population Estimate,100016
36015,Chemung County,1977,Intercensal Population Estimate,99340
36015,Chemung County,1978,Intercensal Population Estimate,98694
36015,Chemung County,1979,Intercensal Population Estimate,99347
36015,Chemung County,1980,Intercensal Population Estimate,97500
36015,Chemung County,1981,Intercensal Population Estimate,96406
36015,Chemung County,1982,Intercensal Population Estimate,96032
36015,Chemung County,1983,Intercensal Population Estimate,94659
36015,Chemung County,1984,Intercensal Population Estimate,93190
36015,Chemung County,1985,Intercensal Population Estimate,92200
36015,Chemung County,1986,Intercensal Population Estimate,91179
36015,Chemung County,1987,Intercensal Population Estimate,91819
36015,Chemung County,1988,Intercensal Population Estimate,93142
36015,Chemung County,1989,Intercensal Population Estimate,94701
36015,Chemung County,1990,Intercensal Population Estimate,95292
36015,Chemung County,1991,Intercensal Population Estimate,95001
36015,Chemung County,1992,Intercensal Population Estimate,94954
36015,Chemung County,1993,Intercensal Population Estimate,94711
36015,Chemung County,1994,Intercensal Population Estimate,94132
36015,Chemung County,1995,Intercensal Population Estimate,93675
36015,Chemung County,1996,Intercensal Population Estimate,92972
36015,Chemung County,1997,Intercensal Population Estimate,92162
36015,Chemung County,1998,Intercensal Population Estimate,91791
36015,Chemung County,1999,Intercensal Population Estimate,91284
36015,Chemung County,2000,Intercensal Population Estimate,91094
36015,Chemung County,2001,Intercensal Population Estimate,90780
36015,Chemung County,2002,Intercensal Population Estimate,90613
36015,Chemung County,2003,Intercensal Population Estimate,90154
36015,Chemung County,2004,Intercensal Population Estimate,89777
36015,Chemung County,2005,Intercensal Population Estimate,88860
36015,Chemung County,2006,Intercensal Population Estimate,88732
36015,Chemung County,2007,Intercensal Population Estimate,88634
36015,Chemung County,2008,Intercensal Population Estimate,88503
36015,Chemung County,2009,Intercensal Population Estimate,88849
36017,Chenango County,1970,Intercensal Population Estimate,46426
36017,Chenango County,1971,Intercensal Population Estimate,46622
36017,Chenango County,1972,Intercensal Population Estimate,47665
36017,Chenango County,1973,Intercensal Population Estimate,47421
36017,Chenango County,1974,Intercensal Population Estimate,47397
36017,Chenango County,1975,Intercensal Population Estimate,47988
36017,Chenango County,1976,Intercensal Population Estimate,48650
36017,Chenango County,1977,Intercensal Population Estimate,49150
36017,Chenango County,1978,Intercensal Population Estimate,49292
36017,Chenango County,1979,Intercensal Population Estimate,49370
36017,Chenango County,1980,Intercensal Population Estimate,49424
36017,Chenango County,1981,Intercensal Population Estimate,49482
36017,Chenango County,1982,Intercensal Population Estimate,49737
36017,Chenango County,1983,Intercensal Population Estimate,49869
36017,Chenango County,1984,Intercensal Population Estimate,49501
36017,Chenango County,1985,Intercensal Population Estimate,49668
36017,Chenango County,1986,Intercensal Population Estimate,50033
36017,Chenango County,1987,Intercensal Population Estimate,50626
36017,Chenango County,1988,Intercensal Population Estimate,51336
36017,Chenango County,1989,Intercensal Population Estimate,51611
36017,Chenango County,1990,Intercensal Population Estimate,51813
36017,Chenango County,1991,Intercensal Population Estimate,52160
36017,Chenango County,1992,Intercensal Population Estimate,52341
36017,Chenango County,1993,Intercensal Population Estimate,52552
36017,Chenango County,1994,Intercensal Population Estimate,52479
36017,Chenango County,1995,Intercensal Population Estimate,52127
36017,Chenango County,1996,Intercensal Population Estimate,52297
36017,Chenango County,1997,Intercensal Population Estimate,52017
36017,Chenango County,1998,Intercensal Population Estimate,51432
36017,Chenango County,1999,Intercensal Population Estimate,51286
36017,Chenango County,2000,Intercensal Population Estimate,51325
36017,Chenango County,2001,Intercensal Population Estimate,51109
36017,Chenango County,2002,Intercensal Population Estimate,51205
36017,Chenango County,2003,Intercensal Population Estimate,51393
36017,Chenango County,2004,Intercensal Population Estimate,51297
36017,Chenango County,2005,Intercensal Population Estimate,51154
36017,Chenango County,2006,Intercensal Population Estimate,51391
36017,Chenango County,2007,Intercensal Population Estimate,51463
36017,Chenango County,2008,Intercensal Population Estimate,51326
36017,Chenango County,2009,Intercensal Population Estimate,50639
36019,Clinton County,1970,Intercensal Population Estimate,73656
36019,Clinton County,1971,Intercensal Population Estimate,76539
36019,Clinton County,1972,Intercensal Population Estimate,80628
36019,Clinton County,1973,Intercensal Population Estimate,79143
36019,Clinton County,1974,Intercensal Population Estimate,79864
36019,Clinton County,1975,Intercensal Population Estimate,80982
36019,Clinton County,1976,Intercensal Population Estimate,81041
36019,Clinton County,1977,Intercensal Population Estimate,81237
36019,Clinton County,1978,Intercensal Population Estimate,80821
36019,Clinton County,1979,Intercensal Population Estimate,80952
36019,Clinton County,1980,Intercensal Population Estimate,80746
36019,Clinton County,1981,Intercensal Population Estimate,80309
36019,Clinton County,1982,Intercensal Population Estimate,81202
36019,Clinton County,1983,Intercensal Population Estimate,81189
36019,Clinton County,1984,Intercensal Population Estimate,81769
36019,Clinton County,1985,Intercensal Population Estimate,82675
36019,Clinton County,1986,Intercensal Population Estimate,83147
36019,Clinton County,1987,Intercensal Population Estimate,83533
36019,Clinton County,1988,Intercensal Population Estimate,84209
36019,Clinton County,1989,Intercensal Population Estimate,85214
36019,Clinton County,1990,Intercensal Population Estimate,86160
36019,Clinton County,1991,Intercensal Population Estimate,86086
36019,Clinton County,1992,Intercensal Population Estimate,85555
36019,Clinton County,1993,Intercensal Population Estimate,86420
36019,Clinton County,1994,Intercensal Population Estimate,86444
36019,Clinton County,1995,Intercensal Population Estimate,82914
36019,Clinton County,1996,Intercensal Population Estimate,80440
36019,Clinton County,1997,Intercensal Population Estimate,80191
36019,Clinton County,1998,Intercensal Population Estimate,79926
36019,Clinton County,1999,Intercensal Population Estimate,79875
36019,Clinton County,2000,Intercensal Population Estimate,79891
36019,Clinton County,2001,Intercensal Population Estimate,80320
36019,Clinton County,2002,Intercensal Population Estimate,80707
36019,Clinton County,2003,Intercensal Population Estimate,81396
36019,Clinton County,2004,Intercensal Population Estimate,81803
36019,Clinton County,2005,Intercensal Population Estimate,82233
36019,Clinton County,2006,Intercensal Population Estimate,82547
36019,Clinton County,2007,Intercensal Population Estimate,82556
36019,Clinton County,2008,Intercensal Population Estimate,82401
36019,Clinton County,2009,Intercensal Population Estimate,82280
36021,Columbia County,1970,Intercensal Population Estimate,52050
36021,Columbia County,1971,Intercensal Population Estimate,54189
36021,Columbia County,1972,Intercensal Population Estimate,56158
36021,Columbia County,1973,Intercensal Population Estimate,56478
36021,Columbia County,1974,Intercensal Population Estimate,56574
36021,Columbia County,1975,Intercensal Population Estimate,56906
36021,Columbia County,1976,Intercensal Population Estimate,57146
36021,Columbia County,1977,Intercensal Population Estimate,58418
36021,Columbia County,1978,Intercensal Population Estimate,58799
36021,Columbia County,1979,Intercensal Population Estimate,59193
36021,Columbia County,1980,Intercensal Population Estimate,59620
36021,Columbia County,1981,Intercensal Population Estimate,59845
36021,Columbia County,1982,Intercensal Population Estimate,60339
36021,Columbia County,1983,Intercensal Population Estimate,61239
36021,Columbia County,1984,Intercensal Population Estimate,61197
36021,Columbia County,1985,Intercensal Population Estimate,61291
36021,Columbia County,1986,Intercensal Population Estimate,61818
36021,Columbia County,1987,Intercensal Population Estimate,62033
36021,Columbia County,1988,Intercensal Population Estimate,62618
36021,Columbia County,1989,Intercensal Population Estimate,62863
36021,Columbia County,1990,Intercensal Population Estimate,63048
36021,Columbia County,1991,Intercensal Population Estimate,62967
36021,Columbia County,1992,Intercensal Population Estimate,63228
36021,Columbia County,1993,Intercensal Population Estimate,63428
36021,Columbia County,1994,Intercensal Population Estimate,63549
36021,Columbia County,1995,Intercensal Population Estimate,63790
36021,Columbia County,1996,Intercensal Population Estimate,63625
36021,Columbia County,1997,Intercensal Population Estimate,63505
36021,Columbia County,1998,Intercensal Population Estimate,63356
36021,Columbia County,1999,Intercensal Population Estimate,63217
36021,Columbia County,2000,Intercensal Population Estimate,63046
36021,Columbia County,2001,Intercensal Population Estimate,62953
36021,Columbia County,2002,Intercensal Population Estimate,63182
36021,Columbia County,2003,Intercensal Population Estimate,63304
36021,Columbia County,2004,Intercensal Population Estimate,63646
36021,Columbia County,2005,Intercensal Population Estimate,63717
36021,Columbia County,2006,Intercensal Population Estimate,63427
36021,Columbia County,2007,Intercensal Population Estimate,63430
36021,Columbia County,2008,Intercensal Population Estimate,63253
36021,Columbia County,2009,Intercensal Population Estimate,63023
36023,Cortland County,1970,Intercensal Population Estimate,45877
36023,Cortland County,1971,Intercensal Population Estimate,45794
36023,Cortland County,1972,Intercensal Population Estimate,46513
36023,Cortland County,1973,Intercensal Population Estimate,46853
36023,Cortland County,1974,Intercensal Population Estimate,47674
36023,Cortland County,1975,Intercensal Population Estimate,48189
36023,Cortland County,1976,Intercensal Population Estimate,48297
36023,Cortland County,1977,Intercensal Population Estimate,47834
36023,Cortland County,1978,Intercensal Population Estimate,48171
36023,Cortland County,1979,Intercensal Population Estimate,47881
36023,Cortland County,1980,Intercensal Population Estimate,48883
36023,Cortland County,1981,Intercensal Population Estimate,48858
36023,Cortland County,1982,Intercensal Population Estimate,48442
36023,Cortland County,1983,Intercensal Population Estimate,48124
36023,Cortland County,1984,Intercensal Population Estimate,47633
36023,Cortland County,1985,Intercensal Population Estimate,47659
36023,Cortland County,1986,Intercensal Population Estimate,47942
36023,Cortland County,1987,Intercensal Population Estimate,48259
36023,Cortland County,1988,Intercensal Population Estimate,48111
36023,Cortland County,1989,Intercensal Population Estimate,48488
36023,Cortland County,1990,Intercensal Population Estimate,49127
36023,Cortland County,1991,Intercensal Population Estimate,49280
36023,Cortland County,1992,Intercensal Population Estimate,49500
36023,Cortland County,1993,Intercensal Population Estimate,49584
36023,Cortland County,1994,Intercensal Population Estimate,49502
36023,Cortland County,1995,Intercensal Population Estimate,49123
36023,Cortland County,1996,Intercensal Population Estimate,48726
36023,Cortland County,1997,Intercensal Population Estimate,48619
36023,Cortland County,1998,Intercensal Population Estimate,48755
36023,Cortland County,1999,Intercensal Population Estimate,48734
36023,Cortland County,2000,Intercensal Population Estimate,48693
36023,Cortland County,2001,Intercensal Population Estimate,48903
36023,Cortland County,2002,Intercensal Population Estimate,48891
36023,Cortland County,2003,Intercensal Population Estimate,49475
36023,Cortland County,2004,Intercensal Population Estimate,49628
36023,Cortland County,2005,Intercensal Population Estimate,49330
36023,Cortland County,2006,Intercensal Population Estimate,49449
36023,Cortland County,2007,Intercensal Population Estimate,49624
36023,Cortland County,2008,Intercensal Population Estimate,49537
36023,Cortland County,2009,Intercensal Population Estimate,49358
36025,Delaware County,1970,Intercensal Population Estimate,45009
36025,Delaware County,1971,Intercensal Population Estimate,46168
36025,Delaware County,1972,Intercensal Population Estimate,46922
36025,Delaware County,1973,Intercensal Population Estimate,46694
36025,Delaware County,1974,Intercensal Population Estimate,46772
36025,Delaware County,1975,Intercensal Population Estimate,47192
36025,Delaware County,1976,Intercensal Population Estimate,47607
36025,Delaware County,1977,Intercensal Population Estimate,47763
36025,Delaware County,1978,Intercensal Population Estimate,47453
36025,Delaware County,1979,Intercensal Population Estimate,47376
36025,Delaware County,1980,Intercensal Population Estimate,46849
36025,Delaware County,1981,Intercensal Population Estimate,46708
36025,Delaware County,1982,Intercensal Population Estimate,46493
36025,Delaware County,1983,Intercensal Population Estimate,46254
36025,Delaware County,1984,Intercensal Population Estimate,46233
36025,Delaware County,1985,Intercensal Population Estimate,46329
36025,Delaware County,1986,Intercensal Population Estimate,46067
36025,Delaware County,1987,Intercensal Population Estimate,46547
36025,Delaware County,1988,Intercensal Population Estimate,46947
36025,Delaware County,1989,Intercensal Population Estimate,47148
36025,Delaware County,1990,Intercensal Population Estimate,47464
36025,Delaware County,1991,Intercensal Population Estimate,47733
36025,Delaware County,1992,Intercensal Population Estimate,48021
36025,Delaware County,1993,Intercensal Population Estimate,48387
36025,Delaware County,1994,Intercensal Population Estimate,48526
36025,Delaware County,1995,Intercensal Population Estimate,48638
36025,Delaware County,1996,Intercensal Population Estimate,48342
36025,Delaware County,1997,Intercensal Population Estimate,47878
36025,Delaware County,1998,Intercensal Population Estimate,47999
